date,time,aqi,temp,pressure,humidity,wind_speed,wind_direction
2024-03-20,21:00:00,135,28,1009,65,6.14,191
2024-03-20,22:00:00,133,28,1009,65,6.14,191
2024-03-20,23:00:00,133,31,1009,65,6.13,187
2024-03-21,"00:00:00",127,31,1009,65,5.3,194
2024-03-21,"01:00:00",117,31,1008,64,5.1,189
2024-03-21,"02:00:00",116,29,1008,66,4.66,179
2024-03-21,"03:00:00",115,27,1008,70,4.43,174
2024-03-21,"04:00:00",117,29,1007,68,4.49,172
2024-03-21,"05:00:00",118,29,1007,68,4.35,172
2024-03-21,"06:00:00",124,29,1008,68,4.19,173
2024-03-25,"07:00:00",129,29,1008,69,4.5,173
2024-03-25,"08:00:00",127,30,1009,68,4.33,176
2024-03-25,"09:00:00",130,30,1009,68,4.33,176
2024-03-25,18:00:00,146,35,1004,53,6.65,166
2025-03-31,10:00:00,106,30,1012,63,2.78,119
2025-03-31,12:00:00,104,32,1010,56,3.2,135
2025-03-31,15:00:00,98,32,1007,59,2.1,136
2025-03-31,17:00:00,84,32,1007,59,4.11,149
2025-03-27,10:00:00,134,28,1004,86,3.77,173
2025-03-25,20:00:00,153,31,1005,65,7.24,188
2025-03-25,21:00:00,149,31,1006,67,7.08,189
2025-03-25,22:00:00,147,30,1007,68,7.03,187
2025-03-25,23:00:00,142,30,1007,68,6.22,181
2025-03-26,"00:00:00",132,30,1006,69,5.68,179
2025-03-26,"02:00:00",124,29,1006,68,5.54,180
2025-03-26,"03:00:00",122,27,1005,73,5.45,172
2025-03-26,"04:00:00",119,27,1005,74,5.24,172
2025-03-26,"06:00:00",122,30,1006,67,5.24,171
2025-03-26,"07:00:00",124,30,1007,68,5.32,174
2025-03-26,"08:00:00",129,30,1008,69,5.26,176
2025-03-26,"09:00:00",130,32,1008,61,5.51,178
2025-03-26,10:00:00,133,33,1008,57,5.53,178
2025-03-26,11:00:00,134,33,1008,61,5.69,185
2025-03-26,12:00:00,133,33,1008,61,5.69,185
2025-03-26,13:00:00,132,36,1006,49,5.49,177
2025-03-26,14:00:00,131,36,1006,54,5.16,170
2025-03-26,15:00:00,127,36,1004,58,5.48,166
2025-03-26,16:00:00,126,36,1003,53,5.66,164
2025-03-26,17:00:00,124,35,1003,55,5.25,161
2025-03-26,18:00:00,122,34,1003,57,5.4,160
